contimove.s.2.1	sell_ticket
contimove.s.97.2	mesos)#l\r\n#L1# Vila das Ervas(
contimove.s.99.1	Tem certeza de que você tem mesos suficientes?
contimove.s.100.1	Crane_SS
contimove.s.102.1	Alguém mais está indo a Orbis neste exato momento. Fale comigo daqui a pouco.
contimove.s.103.1	Quer mudar para #b#m251000000##k agora? Se tiver #b
contimove.s.62.1	hene
contimove.s.65.1	peri
contimove.s.68.1	elna
contimove.s.71.1	Amor
contimove.s.74.1	Se está entediado com a vida cotidiana, que tal cair fora, pra variar? Não há nada como mergulhar numa nova cultura, aprender algo novo em um minuto! Aproveite para cair fora e viajar. Recomendamos uma #bTour Mundial#k! Está preocupado com a despesa da viagem? Sem preocupações! A #bAgência de Viagnes Maple#k oferece primeira classe pelo precinho de #b300 mesos#k
contimove.s.77.1	Gostaria de viajar para o #bSantuário dos Cogumelos no Japão#k? Se deseja sentir a essência do Japão, nada como visitar o Templo, um pólo cultural japonês. O Santuário dos Cogumelos é um lugar mítico que adora o Incomparável Deus Cogumelo dos tempos antigos.
contimove.s.80.1	st00
contimove.s.83.1	Muito bem. Agora levarei você de volta para onde estava antes de visitar o Japão. Caso queira por o pé na estrada novamente, por favor, me avise!
contimove.s.86.1	Olá! Eu sou a cegonha que voa de #bMu Lung#k para #bOrbis#k e volta. Vôo o tempo todo, então imaginei por que não fazer algum dinheiro levando viajantes como você por um preço baixo? É um bom negócio para mim. O que você acha? Quer voar para #bOrbis#k agora mesmo? Para iniciantes, cobro só #b
contimove.s.89.1	Crane_SS
contimove.s.92.1	Quer mudar para #b#m251000000##k agora? Se tiver #b
contimove.s.95.1	Tem certeza de que você tem mesos suficientes?
contimove.s.98.3	mesos#l
contimove.s.101.1	Alguém mais está indo a Orbis neste exato momento. Fale comigo daqui a pouco.
contimove.s.104.2	mesos#k, te levarei agora mesmo.
contimove.s.105.1	Ok. Caso mude de idéia, por favor, me avise.
contimove.s.107.1	Olá! Eu sou a cegonha que voa de #bOrbis#k para #bMu Lung#k e volta. Vôo o tempo todo, então imaginei por que não fazer algum dinheiro levando viajantes como você por um preço baixo? É um bom negócio para mim. O que você acha? Quer voar para #bMu Lung#k agora mesmo? Para iniciantes, cobro só #b
contimove.s.108.2	mesos#k.\r\n#b#L0# Está bem, leve-me a Mu Lung.#l
contimove.s.110.1	Crane_MR
contimove.s.111.1	Alguém mais está indo a Mu Lung neste exato momento. Fale comigo daqui a pouco.
contimove.s.113.1	Alguém mais está indo a Mu Lung neste exato momento. Fale comigo daqui a pouco.
contimove.s.114.1	Olá! Eu sou a cegonha que voa de #bOrbis#k para #bMu Lung#k e volta. Vôo o tempo todo, então imaginei por que não fazer algum dinheiro levando viajantes como você por um preço baixo? É um bom negócio para mim. O que você acha? \r\n#b#L0# Mu Lung(
contimove.s.116.1	Tem certeza de que você tem mesos suficientes?
contimove.s.117.1	Crane_MR
contimove.s.119.1	Alguém mais está indo a Mu Lung neste exato momento. Fale comigo daqui a pouco.
contimove.s.120.1	Alguém mais está indo a Mu Lung neste exato momento. Fale comigo daqui a pouco.
contimove.s.122.2	mesos#k.
contimove.s.123.1	Olá! Eu sou a cegonha que voa de de #bOrbis#k para #bMu Lung#k e volta. Vôo o tempo todo, então imaginei por que não fazer algum dinheiro levando viajantes como você por um preço baixo? É um bom negócio para mim. O que você acha? Quer voar para #bMu Lung#k agora mesmo? Cobro só #b
contimove.s.125.1	Ok. Caso mude de idéia, por favor, me avise.
contimove.s.126.1	Tem certeza de que você tem mesos suficientes?
contimove.s.128.1	Crane_MR
contimove.s.129.1	crane_SS
contimove.s.106.1	Tem certeza de que você tem mesos suficientes?
contimove.s.109.1	Tem certeza de que você tem mesos suficientes?
contimove.s.112.1	Alguém mais está indo a Mu Lung neste exato momento. Fale comigo daqui a pouco.
contimove.s.115.2	mesos)#l
contimove.s.118.1	Alguém mais está indo a Mu Lung neste exato momento. Fale comigo daqui a pouco.
contimove.s.121.1	Olá! Eu sou a cegonha que voa de #bOrbis#k para #bMu Lung#k e volta. Vôo o tempo todo, então imaginei por que não fazer algum dinheiro levando viajantes como você por um preço baixo? É um bom negócio para mim. O que você acha? Quer voar para #bMu Lung#k agora mesmo? Para iniciantes, cobro só #b
contimove.s.124.2	mesos#k.
contimove.s.127.1	crane_MR
contimove.s.130.1	Crane_SS
contimove.s.5.1	O passeio para Ellinia na Ilha Victória sai a cada 15 minutos, começando em horas cheias, e vai lhe custar #b1.000 mesos#k. Tem certeza de que quer comprar #b#t4031046##k?
contimove.s.6.1	O passeio para Ellinia na Ilha Victória sai a cada 15 minutos, começando em horas cheias, e vai lhe custar #b5.000 mesos#k. Tem certeza de que quer comprar #b#t4031047##k?
contimove.s.8.1	O passeio para Ludibrium sai a cada 10 minutos, começando em horas cheias, e vai lhe custar #b6.000 mesos#k. Tem certeza de que quer comprar #b#t4031074##k?
contimove.s.9.1	O passeio para a Floresta de Minar perto de Leafre sai a cada 10 minutos, começando em horas cheias, e vai lhe custar #b10.000 mesos#k. Tem certeza de que quer comprar #b#t4031330##k?
contimove.s.11.1	Olá, sou o responsável pela venda de bilhetes para o passeio de navio para a Estação Orbis em Ossyria. O passeio para Orbis sai a cada 10 minutos, começando em horas cheias, e vai lhe custar #b2.000 mesos#k. Tem certeza de que quer comprar #b#t4031044##k?
contimove.s.12.1	Olá, sou o responsável pela venda de bilhetes para o passeio de navio para a Estação Orbis em Ossyria. O passeio para Orbis sai a cada 10 minutos, começando em horas cheias, e vai lhe custar #b6.000 mesos#k. Tem certeza de que quer comprar #b#t4031045##k?
contimove.s.14.1	Olá, sou o responsável pela venda de bilhetes para o passeio de navio para a Estação Orbis em Ossyria. O passeio para Orbis sai a cada 15 minutos, começando em horas cheias, e vai lhe custar #b5.000 mesos#k. Tem certeza de que quer comprar #b#t4031045##k?
contimove.s.15.1	Olá, sou o responsável pela venda de bilhetes para o passeio de navio para a Estação Orbis em Ossyria. O passeio para Orbis sai a cada 10 minutos, começando em horas cheias, e vai lhe custar #b2.000 mesos#k. Tem certeza de que quer comprar #b#t4031044##k?
contimove.s.17.1	Você deve ter alguns negócios para tratar aqui, certo?
contimove.s.18.1	Tem certeza de que você tem um #b?
contimove.s.1.1	standard.s
contimove.s.4.1	Olá, sou o responsável pela venda de bilhetes para o passeio de navio a todos os destinos. Qual bilhete gostaria de comprar?\r\n#b#L0# Ellinia na Ilha Victória#l#k\r\n#b#L1# Ludibrium#l\r\n#b#L2# Leafre#l#k
contimove.s.7.1	O passeio para Ludibrium sai a cada 10 minutos, começando em horas cheias, e vai lhe custar #b2.000 mesos#k. Tem certeza de que quer comprar #b#t4031073##k?
contimove.s.10.1	O passeio para a Floresta de Minar perto de Leafre sai a cada 10 minutos, começando em horas cheias, e vai lhe custar #b30.000 mesos#k. Tem certeza de que quer comprar #b#t4031331##k?
contimove.s.13.1	Olá, sou o responsável pela venda de bilhetes para o passeio de navio para a Estação Orbis em Ossyria. O passeio para Orbis sai a cada 15 minutos, começando em horas cheias, e vai lhe custar #b1.000 mesos#k. Tem certeza de que quer comprar #b#t4031044##k?
contimove.s.16.1	Olá, sou o responsável pela venda de bilhetes para o passeio de navio para a Estação Orbis em Ossyria. O passeio para Orbis sai a cada 15 minutos, começando em horas cheias, e vai lhe custar #b30.000 mesos#k. Tem certeza de que quer comprar #b#t4031045##k?
contimove.s.19.2	mesos#k? Se sim, então devo conferir seu inventário de etc. e ver se está cheio ou não.
contimove.s.20.1	get_ticket
contimove.s.22.1	Este navio está prestes a partir. Desculpe, mas você deverá pegar o próximo. A escala das viagens está disponível por meio dos agentes do balcão de bilhetes.
contimove.s.23.1	Sinto muito, mas este passeio já está CHEIO. Não podemos aceitar mais nenhum passageiro. Por favor, embarque no próximo.
contimove.s.25.1	Você deve ter alguns negócios para tratar aqui, certo?
contimove.s.26.1	Ah, não… Não creio que tenha seu bilhete consigo. Não pode embarcar sem ele. Por favor, compre o bilhete no balcão de bilhetes.
contimove.s.28.1	Este navio está ficando pronto para partir. Desculpe, mas você deverá pegar o próximo. A escala das viagens está disponível por meio dos agentes do balcão de bilhetes.
contimove.s.29.1	Sinto muito, mas este passeio já está CHEIO. Não podemos aceitar mais nenhum passageiro. Por favor, embarque no próximo.
